Cifras absolutas y relativas;Sexo;Edad;Horas de sueño al día;Total
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Total;3.678,5
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Menos de 6 horas;127,9
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Seis o siete horas;1.564,5
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Ocho o nueve horas;1.841,4
CIFRAS ABSOLUTAS;Varones;De 25 a 34 años;Diez o más horas;144,7
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Total;3.344,5
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Menos de 6 horas;230,1
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Seis o siete horas;1.753,4
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Ocho o nueve horas;1.274,6
CIFRAS ABSOLUTAS;Varones;De 35 a 44 años;Diez o más horas;86,5
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Total;2.637,6
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Menos de 6 horas;197,2
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Seis o siete horas;1.305,3
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Ocho o nueve horas;1.031,2
CIFRAS ABSOLUTAS;Varones;De 45 a 54 años;Diez o más horas;103,9
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Total;2.085,9
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Menos de 6 horas;134,7
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Seis o siete horas;968,0
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Ocho o nueve horas;830,1
CIFRAS ABSOLUTAS;Varones;De 55 a 64 años;Diez o más horas;153,1
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Total;1.758,0
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Menos de 6 horas;169,2
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Seis o siete horas;528,9
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Ocho o nueve horas;804,5
CIFRAS ABSOLUTAS;Varones;De 65 a 74 años;Diez o más horas;255,3
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Total;1.200,6
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Menos de 6 horas;170,0
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Seis o siete horas;286,9
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Ocho o nueve horas;446,0
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Diez o más horas;297,8
CIFRAS ABSOLUTAS;Mujeres;Total;Total;21.303,3
CIFRAS ABSOLUTAS;Mujeres;Total;Menos de 6 horas;1.821,3
CIFRAS ABSOLUTAS;Mujeres;Total;Seis o siete horas;7.436,0
CIFRAS ABSOLUTAS;Mujeres;Total;Ocho o nueve horas;9.291,6
CIFRAS ABSOLUTAS;Mujeres;Total;Diez o más horas;2.754,5
CIFRAS ABSOLUTAS;Mujeres;De 0 a 4 años;Total;853,6
CIFRAS ABSOLUTAS;Mujeres;De 0 a 4 años;Menos de 6 horas;5,7
CIFRAS ABSOLUTAS;Mujeres;De 0 a 4 años;Seis o siete horas;22,3
CIFRAS ABSOLUTAS;Mujeres;De 0 a 4 años;Ocho o nueve horas;132,8
CIFRAS ABSOLUTAS;Mujeres;De 0 a 4 años;Diez o más horas;692,8
CIFRAS ABSOLUTAS;Mujeres;De 5 a 15 años;Total;2.338,1
CIFRAS ABSOLUTAS;Mujeres;De 5 a 15 años;Menos de 6 horas;7,2
CIFRAS ABSOLUTAS;Mujeres;De 5 a 15 años;Seis o siete horas;70,7
CIFRAS ABSOLUTAS;Mujeres;De 5 a 15 años;Ocho o nueve horas;1.308,7
CIFRAS ABSOLUTAS;Mujeres;De 5 a 15 años;Diez o más horas;951,5
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Total;2.428,3
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Menos de 6 horas;26,2
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Seis o siete horas;654,8
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Ocho o nueve horas;1.466,6
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Diez o más horas;280,7
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Total;3.503,3
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Menos de 6 horas;127,3
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Seis o siete horas;1.283,6
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Ocho o nueve horas;1.946,8
CIFRAS ABSOLUTAS;Mujeres;De 25 a 34 años;Diez o más horas;145,6
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Total;3.297,4
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Menos de 6 horas;192,1
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Seis o siete horas;1.642,2
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Ocho o nueve horas;1.391,8
CIFRAS ABSOLUTAS;Mujeres;De 35 a 44 años;Diez o más horas;71,3
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Total;2.676,3
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Menos de 6 horas;332,0
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Seis o siete horas;1.341,2
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Ocho o nueve horas;929,8
CIFRAS ABSOLUTAS;Mujeres;De 45 a 54 años;Diez o más horas;73,2
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Total;2.207,7
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Menos de 6 horas;360,5
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Seis o siete horas;982,7
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Ocho o nueve horas;789,5
CIFRAS ABSOLUTAS;Mujeres;De 55 a 64 años;Diez o más horas;74,9
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Total;2.220,7
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Menos de 6 horas;463,0
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Seis o siete horas;857,7
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Ocho o nueve horas;766,3
CIFRAS ABSOLUTAS;Mujeres;De 65 a 74 años;Diez o más horas;133,7
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Total;1.777,9
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Menos de 6 horas;307,2
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Seis o siete horas;580,6
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Ocho o nueve horas;559,3
CIFRAS ABSOLUTAS;Mujeres;De 75 y más años;Diez o más horas;330,8
CIFRAS RELATIVAS;Ambos sexos;Total;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;Total;Menos de 6 horas;6,94
CIFRAS RELATIVAS;Ambos sexos;Total;Seis o siete horas;35,06
CIFRAS RELATIVAS;Ambos sexos;Total;Ocho o nueve horas;44,22
CIFRAS RELATIVAS;Ambos sexos;Total;Diez o más horas;13,79
CIFRAS RELATIVAS;Ambos sexos;De 0 a 4 años;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 0 a 4 años;Menos de 6 horas;0,37
CIFRAS RELATIVAS;Ambos sexos;De 0 a 4 años;Seis o siete horas;2,41
CIFRAS RELATIVAS;Ambos sexos;De 0 a 4 años;Ocho o nueve horas;17,05
CIFRAS RELATIVAS;Ambos sexos;De 0 a 4 años;Diez o más horas;80,17
CIFRAS RELATIVAS;Ambos sexos;De 5 a 15 años;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 5 a 15 años;Menos de 6 horas;0,23
CIFRAS RELATIVAS;Ambos sexos;De 5 a 15 años;Seis o siete horas;3,76
CIFRAS RELATIVAS;Ambos sexos;De 5 a 15 años;Ocho o nueve horas;55,30
CIFRAS RELATIVAS;Ambos sexos;De 5 a 15 años;Diez o más horas;40,70
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Menos de 6 horas;1,59
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Seis o siete horas;27,71
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Ocho o nueve horas;59,62
CIFRAS RELATIVAS;Ambos sexos;De 16 a 24 años;Diez o más horas;11,08
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Menos de 6 horas;3,55
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Seis o siete horas;39,66
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Ocho o nueve horas;52,75
CIFRAS RELATIVAS;Ambos sexos;De 25 a 34 años;Diez o más horas;4,04
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Menos de 6 horas;6,36
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Seis o siete horas;51,12
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Ocho o nueve horas;40,14
CIFRAS RELATIVAS;Ambos sexos;De 35 a 44 años;Diez o más horas;2,37
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Menos de 6 horas;9,96
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Seis o siete horas;49,80
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Ocho o nueve horas;36,90
CIFRAS RELATIVAS;Ambos sexos;De 45 a 54 años;Diez o más horas;3,33
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Menos de 6 horas;11,53
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Seis o siete horas;45,43
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Ocho o nueve horas;37,72
CIFRAS RELATIVAS;Ambos sexos;De 55 a 64 años;Diez o más horas;5,31
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Menos de 6 horas;15,89
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Seis o siete horas;34,85
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Ocho o nueve horas;39,48
CIFRAS RELATIVAS;Ambos sexos;De 65 a 74 años;Diez o más horas;9,78
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Total;100,00
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Menos de 6 horas;16,02
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Seis o siete horas;29,12
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Ocho o nueve horas;33,75
CIFRAS RELATIVAS;Ambos sexos;De 75 y más años;Diez o más horas;21,10
CIFRAS RELATIVAS;Varones;Total;Total;100,00
CIFRAS RELATIVAS;Varones;Total;Menos de 6 horas;5,27
CIFRAS RELATIVAS;Varones;Total;Seis o siete horas;35,21
CIFRAS RELATIVAS;Varones;Total;Ocho o nueve horas;44,85
CIFRAS RELATIVAS;Varones;Total;Diez o más horas;14,67
CIFRAS RELATIVAS;Varones;De 0 a 4 años;Total;100,00
CIFRAS RELATIVAS;Varones;De 0 a 4 años;Menos de 6 horas;0,09
CIFRAS RELATIVAS;Varones;De 0 a 4 años;Seis o siete horas;2,21
