Año,Mes,Operador,Motivo de reclamo,Número de reclamos
2019,7,Advance Telecomunicaciones S.A. (Speedy),Otros,1
2019,7,AMX Argentina S.A. (Claro),Facturación,13
2019,7,AMX Argentina S.A. (Claro),Gestiones Administrativas,12
2019,7,AMX Argentina S.A. (Claro),Otros,8
2019,7,AMX Argentina S.A. (Claro),Problemas Técnicos,5
2019,7,Arnet S.A.,Problemas Técnicos,2
2019,7,Fibertel S.A. (TCI),Facturación,6
2019,7,Fibertel S.A. (TCI),Gestiones Administrativas,5
2019,7,Fibertel S.A. (TCI),Otros,4
2019,7,Fibertel S.A. (TCI),Problemas Técnicos,7
2019,7,Movistar - Telefonica Moviles Argentina S.A.,Facturación,48
2019,7,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,36
2019,7,Movistar - Telefonica Moviles Argentina S.A.,Otros,33
2019,7,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,19
2019,7,NSS S.A.,Facturación,1
2019,7,NSS S.A.,Gestiones Administrativas,2
2019,7,NSS S.A.,Otros,1
2019,7,Otros,Facturación,25
2019,7,Otros,Gestiones Administrativas,14
2019,7,Otros,Otros,3
2019,7,Otros,Problemas Técnicos,65
2019,7,SION S.A.,Problemas Técnicos,1
2019,7,TELECENTRO S.A.,Facturación,19
2019,7,TELECENTRO S.A.,Gestiones Administrativas,35
2019,7,TELECENTRO S.A.,Otros,4
2019,7,TELECENTRO S.A.,Problemas Técnicos,40
2019,7,Telecom Argentina S.A.,Facturación,121
2019,7,Telecom Argentina S.A.,Gestiones Administrativas,153
2019,7,Telecom Argentina S.A.,Otros,37
2019,7,Telecom Argentina S.A.,Problemas Técnicos,476
2019,7,Telefonica de Argentina S.A.,Facturación,107
2019,7,Telefonica de Argentina S.A.,Gestiones Administrativas,256
2019,7,Telefonica de Argentina S.A.,Otros,5
2019,7,Telefonica de Argentina S.A.,Problemas Técnicos,532
2019,7,TELMEX Argentina S.A.,Gestiones Administrativas,2
2019,7,TELMEX Argentina S.A.,Problemas Técnicos,2
2019,6,Advance Telecomunicaciones S.A. (Speedy),Problemas Técnicos,1
2019,6,AMX Argentina S.A. (Claro),Facturación,19
2019,6,AMX Argentina S.A. (Claro),Gestiones Administrativas,9
2019,6,AMX Argentina S.A. (Claro),Otros,6
2019,6,AMX Argentina S.A. (Claro),Problemas Técnicos,10
2019,6,Arnet S.A.,Problemas Técnicos,2
2019,6,Fibertel S.A. (TCI),Facturación,3
2019,6,Fibertel S.A. (TCI),Gestiones Administrativas,4
2019,6,Fibertel S.A. (TCI),Problemas Técnicos,8
2019,6,Movistar - Telefonica Moviles Argentina S.A.,Facturación,27
2019,6,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,22
2019,6,Movistar - Telefonica Moviles Argentina S.A.,Otros,16
2019,6,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,23
2019,6,NSS S.A.,Gestiones Administrativas,2
2019,6,Otros,Facturación,17
2019,6,Otros,Gestiones Administrativas,4
2019,6,Otros,Otros,4
2019,6,Otros,Problemas Técnicos,37
2019,6,TELECENTRO S.A.,Facturación,22
2019,6,TELECENTRO S.A.,Gestiones Administrativas,45
2019,6,TELECENTRO S.A.,Otros,3
2019,6,TELECENTRO S.A.,Problemas Técnicos,33
2019,6,Telecom Argentina S.A.,Facturación,108
2019,6,Telecom Argentina S.A.,Gestiones Administrativas,132
2019,6,Telecom Argentina S.A.,Otros,24
2019,6,Telecom Argentina S.A.,Problemas Técnicos,453
2019,6,Telefonica de Argentina S.A.,Facturación,87
2019,6,Telefonica de Argentina S.A.,Gestiones Administrativas,186
2019,6,Telefonica de Argentina S.A.,Otros,7
2019,6,Telefonica de Argentina S.A.,Problemas Técnicos,396
2019,6,TELMEX Argentina S.A.,Facturación,1
2019,6,TELMEX Argentina S.A.,Gestiones Administrativas,1
2019,6,TELMEX Argentina S.A.,Problemas Técnicos,1
2019,5,Advance Telecomunicaciones S.A. (Speedy),Otros,1
2019,5,Advance Telecomunicaciones S.A. (Speedy),Problemas Técnicos,1
2019,5,AMX Argentina S.A. (Claro),Facturación,14
2019,5,AMX Argentina S.A. (Claro),Gestiones Administrativas,9
2019,5,AMX Argentina S.A. (Claro),Otros,12
2019,5,AMX Argentina S.A. (Claro),Problemas Técnicos,16
2019,5,Arnet S.A.,Problemas Técnicos,1
2019,5,Fibertel S.A. (TCI),Facturación,3
2019,5,Fibertel S.A. (TCI),Gestiones Administrativas,3
2019,5,Fibertel S.A. (TCI),Otros,4
2019,5,Fibertel S.A. (TCI),Problemas Técnicos,14
2019,5,Movistar - Telefonica Moviles Argentina S.A.,Facturación,51
2019,5,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,29
2019,5,Movistar - Telefonica Moviles Argentina S.A.,Otros,28
2019,5,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,33
2019,5,NSS S.A.,Problemas Técnicos,1
2019,5,Otros,Facturación,13
2019,5,Otros,Gestiones Administrativas,15
2019,5,Otros,Otros,4
2019,5,Otros,Problemas Técnicos,57
2019,5,TELECENTRO S.A.,Facturación,22
2019,5,TELECENTRO S.A.,Gestiones Administrativas,32
2019,5,TELECENTRO S.A.,Otros,10
2019,5,TELECENTRO S.A.,Problemas Técnicos,36
2019,5,Telecom Argentina S.A.,Facturación,90
2019,5,Telecom Argentina S.A.,Gestiones Administrativas,174
2019,5,Telecom Argentina S.A.,Otros,31
2019,5,Telecom Argentina S.A.,Problemas Técnicos,621
2019,5,Telefonica de Argentina S.A.,Facturación,112
2019,5,Telefonica de Argentina S.A.,Gestiones Administrativas,284
2019,5,Telefonica de Argentina S.A.,Otros,10
2019,5,Telefonica de Argentina S.A.,Problemas Técnicos,508
2019,5,TELMEX Argentina S.A.,Facturación,2
2019,4,Advance Telecomunicaciones S.A. (Speedy),Facturación,1
2019,4,Advance Telecomunicaciones S.A. (Speedy),Gestiones Administrativas,1
2019,4,Advance Telecomunicaciones S.A. (Speedy),Problemas Técnicos,2
2019,4,AMX Argentina S.A. (Claro),Facturación,22
2019,4,AMX Argentina S.A. (Claro),Gestiones Administrativas,8
2019,4,AMX Argentina S.A. (Claro),Otros,7
2019,4,AMX Argentina S.A. (Claro),Problemas Técnicos,6
2019,4,Arnet S.A.,Facturación,1
2019,4,Arnet S.A.,Problemas Técnicos,4
2019,4,DIRECT TV Argentina S.A.L,Facturación,2
2019,4,DIRECT TV Argentina S.A.L,Gestiones Administrativas,5
2019,4,Fibertel S.A. (TCI),Facturación,2
2019,4,Fibertel S.A. (TCI),Gestiones Administrativas,2
2019,4,Fibertel S.A. (TCI),Otros,6
2019,4,Fibertel S.A. (TCI),Problemas Técnicos,4
2019,4,Movistar - Telefonica Moviles Argentina S.A.,Facturación,53
2019,4,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,21
2019,4,Movistar - Telefonica Moviles Argentina S.A.,Otros,31
2019,4,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,22
2019,4,Otros,Facturación,14
2019,4,Otros,Gestiones Administrativas,13
2019,4,Otros,Otros,4
2019,4,Otros,Problemas Técnicos,44
2019,4,TELECENTRO S.A.,Facturación,22
2019,4,TELECENTRO S.A.,Gestiones Administrativas,27
2019,4,TELECENTRO S.A.,Otros,14
2019,4,TELECENTRO S.A.,Problemas Técnicos,69
2019,4,Telecom Argentina S.A.,Facturación,95
2019,4,Telecom Argentina S.A.,Gestiones Administrativas,160
2019,4,Telecom Argentina S.A.,Otros,35
2019,4,Telecom Argentina S.A.,Problemas Técnicos,681
2019,4,Telefonica de Argentina S.A.,Facturación,106
2019,4,Telefonica de Argentina S.A.,Gestiones Administrativas,247
2019,4,Telefonica de Argentina S.A.,Otros,10
2019,4,Telefonica de Argentina S.A.,Problemas Técnicos,428
2019,4,TELMEX Argentina S.A.,Facturación,1
2019,4,TELMEX Argentina S.A.,Gestiones Administrativas,2
2019,4,TELMEX Argentina S.A.,Problemas Técnicos,12
2019,3,AMX Argentina S.A. (Claro),Facturación,15
2019,3,AMX Argentina S.A. (Claro),Gestiones Administrativas,7
2019,3,AMX Argentina S.A. (Claro),Otros,10
2019,3,AMX Argentina S.A. (Claro),Problemas Técnicos,8
2019,3,Arnet S.A.,Problemas Técnicos,5
2019,3,DIRECT TV Argentina S.A.L,Facturación,3
2019,3,DIRECT TV Argentina S.A.L,Gestiones Administrativas,11
2019,3,DIRECT TV Argentina S.A.L,Otros,2
2019,3,DIRECT TV Argentina S.A.L,Problemas Técnicos,2
2019,3,Fibertel S.A. (TCI),Facturación,4
2019,3,Fibertel S.A. (TCI),Gestiones Administrativas,1
2019,3,Fibertel S.A. (TCI),Otros,2
2019,3,Fibertel S.A. (TCI),Problemas Técnicos,6
2019,3,Movistar - Telefonica Moviles Argentina S.A.,Facturación,42
2019,3,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,21
2019,3,Movistar - Telefonica Moviles Argentina S.A.,Otros,35
2019,3,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,50
2019,3,Otros,Facturación,31
2019,3,Otros,Gestiones Administrativas,12
2019,3,Otros,Otros,6
2019,3,Otros,Problemas Técnicos,76
2019,3,TELECENTRO S.A.,Facturación,19
2019,3,TELECENTRO S.A.,Gestiones Administrativas,34
2019,3,TELECENTRO S.A.,Otros,15
2019,3,TELECENTRO S.A.,Problemas Técnicos,45
2019,3,Telecom Argentina S.A.,Facturación,98
2019,3,Telecom Argentina S.A.,Gestiones Administrativas,201
2019,3,Telecom Argentina S.A.,Otros,35
2019,3,Telecom Argentina S.A.,Problemas Técnicos,958
2019,3,Telefonica de Argentina S.A.,Facturación,95
2019,3,Telefonica de Argentina S.A.,Gestiones Administrativas,207
2019,3,Telefonica de Argentina S.A.,Otros,10
2019,3,Telefonica de Argentina S.A.,Problemas Técnicos,598
2019,3,TELMEX Argentina S.A.,Facturación,2
2019,3,TELMEX Argentina S.A.,Gestiones Administrativas,3
2019,3,TELMEX Argentina S.A.,Problemas Técnicos,4
2019,2,Advance Telecomunicaciones S.A. (Speedy),Gestiones Administrativas,1
2019,2,AMX Argentina S.A. (Claro),Facturación,14
2019,2,AMX Argentina S.A. (Claro),Gestiones Administrativas,6
2019,2,AMX Argentina S.A. (Claro),Otros,7
2019,2,AMX Argentina S.A. (Claro),Problemas Técnicos,6
2019,2,Arnet S.A.,Problemas Técnicos,7
2019,2,DIRECT TV Argentina S.A.L,Facturación,3
2019,2,DIRECT TV Argentina S.A.L,Gestiones Administrativas,14
2019,2,DIRECT TV Argentina S.A.L,Otros,1
2019,2,DIRECT TV Argentina S.A.L,Problemas Técnicos,3
2019,2,Fibertel S.A. (TCI),Facturación,5
2019,2,Fibertel S.A. (TCI),Gestiones Administrativas,6
2019,2,Fibertel S.A. (TCI),Otros,2
2019,2,Fibertel S.A. (TCI),Problemas Técnicos,9
2019,2,Movistar - Telefonica Moviles Argentina S.A.,Facturación,60
2019,2,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,25
2019,2,Movistar - Telefonica Moviles Argentina S.A.,Otros,16
2019,2,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,49
2019,2,Nextel Communications Argentina S.A.,Otros,1
2019,2,NSS S.A.,Facturación,1
2019,2,Otros,Facturación,8
2019,2,Otros,Gestiones Administrativas,18
2019,2,Otros,Otros,5
2019,2,Otros,Problemas Técnicos,109
2019,2,SION S.A.,Gestiones Administrativas,1
2019,2,SION S.A.,Problemas Técnicos,2
2019,2,TELECENTRO S.A.,Facturación,20
2019,2,TELECENTRO S.A.,Gestiones Administrativas,50
2019,2,TELECENTRO S.A.,Otros,7
2019,2,TELECENTRO S.A.,Problemas Técnicos,79
2019,2,Telecom Argentina S.A.,Facturación,125
2019,2,Telecom Argentina S.A.,Gestiones Administrativas,193
2019,2,Telecom Argentina S.A.,Otros,25
2019,2,Telecom Argentina S.A.,Problemas Técnicos,1061
2019,2,Telefonica de Argentina S.A.,Facturación,115
2019,2,Telefonica de Argentina S.A.,Gestiones Administrativas,261
2019,2,Telefonica de Argentina S.A.,Otros,10
2019,2,Telefonica de Argentina S.A.,Problemas Técnicos,833
2019,2,TELMEX Argentina S.A.,Facturación,2
2019,2,TELMEX Argentina S.A.,Gestiones Administrativas,2
2019,2,TELMEX Argentina S.A.,Otros,1
2019,2,TELMEX Argentina S.A.,Problemas Técnicos,3
2019,1,Advance Telecomunicaciones S.A. (Speedy),Problemas Técnicos,3
2019,1,AMX Argentina S.A. (Claro),Facturación,10
2019,1,AMX Argentina S.A. (Claro),Gestiones Administrativas,6
2019,1,AMX Argentina S.A. (Claro),Otros,13
2019,1,AMX Argentina S.A. (Claro),Problemas Técnicos,11
2019,1,Arnet S.A.,Facturación,2
2019,1,Arnet S.A.,Problemas Técnicos,15
2019,1,DIRECT TV Argentina S.A.L,Facturación,3
2019,1,DIRECT TV Argentina S.A.L,Gestiones Administrativas,22
2019,1,DIRECT TV Argentina S.A.L,Otros,2
2019,1,Fibertel S.A. (TCI),Facturación,5
2019,1,Fibertel S.A. (TCI),Gestiones Administrativas,1
2019,1,Fibertel S.A. (TCI),Otros,3
2019,1,Fibertel S.A. (TCI),Problemas Técnicos,15
2019,1,Movistar - Telefonica Moviles Argentina S.A.,Facturación,35
2019,1,Movistar - Telefonica Moviles Argentina S.A.,Gestiones Administrativas,20
2019,1,Movistar - Telefonica Moviles Argentina S.A.,Otros,25
2019,1,Movistar - Telefonica Moviles Argentina S.A.,Problemas Técnicos,56
2019,1,NSS S.A.,Facturación,1
2019,1,NSS S.A.,Gestiones Administrativas,1
2019,1,Otros,Facturación,15
2019,1,Otros,Gestiones Administrativas,11
2019,1,Otros,Otros,4
2019,1,Otros,Problemas Técnicos,59
2019,1,SION S.A.,Facturación,1
2019,1,TELECENTRO S.A.,Facturación,29
2019,1,TELECENTRO S.A.,Gestiones Administrativas,60
2019,1,TELECENTRO S.A.,Otros,4
2019,1,TELECENTRO S.A.,Problemas Técnicos,52
2019,1,Telecom Argentina S.A.,Facturación,85
2019,1,Telecom Argentina S.A.,Gestiones Administrativas,150
2019,1,Telecom Argentina S.A.,Otros,28
2019,1,Telecom Argentina S.A.,Problemas Técnicos,1146
